Name,FullName,URL,Description,Size(KB),IsFork,Created,Updated,Language,Forks,Topics,BranchesURL,CollaboratorsURL,Mined,Selected
ros2_planning_system,PlanSys2/ros2_planning_system,https://github.com/PlanSys2/ros2_planning_system,This repo contains a PDDL-based planning system for ROS2.,2661,False,2019-11-18T11:10:12Z,2024-07-05T09:43:57Z,C++,79,[],https://api.github.com/repos/PlanSys2/ros2_planning_system/branches{/branch},https://api.github.com/repos/PlanSys2/ros2_planning_system/collaborators{/collaborator},yes,yes
ros2-performance,irobot-ros/ros2-performance,https://github.com/irobot-ros/ros2-performance,Framework to evaluate peformance of ROS 2,1953,False,2019-04-10T22:54:19Z,2024-07-01T22:13:09Z,C++,60,"['benchmark', 'cpp', 'performance', 'ros2']",https://api.github.com/repos/irobot-ros/ros2-performance/branches{/branch},https://api.github.com/repos/irobot-ros/ros2-performance/collaborators{/collaborator},yes,no
bluespace_ai_xsens_ros_mti_driver,bluespace-ai/bluespace_ai_xsens_ros_mti_driver,https://github.com/bluespace-ai/bluespace_ai_xsens_ros_mti_driver,xsens ros2 driver,5556,False,2021-04-30T22:04:04Z,2024-06-10T09:59:41Z,C++,56,[],https://api.github.com/repos/bluespace-ai/bluespace_ai_xsens_ros_mti_driver/branches{/branch},https://api.github.com/repos/bluespace-ai/bluespace_ai_xsens_ros_mti_driver/collaborators{/collaborator},yes,yes
ros2-for-unity,RobotecAI/ros2-for-unity,https://github.com/RobotecAI/ros2-for-unity,High-performance ROS2 solution for Unity3D,727,False,2021-08-19T12:52:18Z,2024-07-05T02:38:45Z,C#,55,"['performance', 'ros2', 'ros2-foxy', 'ros2-galactic', 'ros2-humble', 'simulation', 'unity', 'unity3d']",https://api.github.com/repos/RobotecAI/ros2-for-unity/branches{/branch},https://api.github.com/repos/RobotecAI/ros2-for-unity/collaborators{/collaborator},yes,no
docker-ros2-desktop-vnc,Tiryoh/docker-ros2-desktop-vnc,https://github.com/Tiryoh/docker-ros2-desktop-vnc,🐳 Dockerfiles to provide HTML5 VNC interface to access Ubuntu Desktop + ROS 2,162,False,2020-01-02T09:47:30Z,2024-07-04T05:05:35Z,Shell,76,"['desktop', 'docker', 'dockerfile', 'ros2', 'vnc']",https://api.github.com/repos/Tiryoh/docker-ros2-desktop-vnc/branches{/branch},https://api.github.com/repos/Tiryoh/docker-ros2-desktop-vnc/collaborators{/collaborator},yes,no
ROS2-Ultimate-guide-for-Custom-Robotic-Arms-and-Panda-7-DOF,noshluk2/ROS2-Ultimate-guide-for-Custom-Robotic-Arms-and-Panda-7-DOF,https://github.com/noshluk2/ROS2-Ultimate-guide-for-Custom-Robotic-Arms-and-Panda-7-DOF,ROS2 based custom robotic arm with ros2_control,23422,False,2019-05-30T00:35:01Z,2024-07-05T05:12:55Z,Jupyter Notebook,33,"['gazebo', 'robotic-arm', 'robotics', 'ros2-control', 'ros2-humble', 'rviz', 'urdf']",https://api.github.com/repos/noshluk2/ROS2-Ultimate-guide-for-Custom-Robotic-Arms-and-Panda-7-DOF/branches{/branch},https://api.github.com/repos/noshluk2/ROS2-Ultimate-guide-for-Custom-Robotic-Arms-and-Panda-7-DOF/collaborators{/collaborator},yes,yes
ydlidar_ros2_driver,YDLIDAR/ydlidar_ros2_driver,https://github.com/YDLIDAR/ydlidar_ros2_driver,ydlidar driver package under ros2,803,False,2020-06-17T07:19:26Z,2024-06-28T02:17:30Z,C++,92,[],https://api.github.com/repos/YDLIDAR/ydlidar_ros2_driver/branches{/branch},https://api.github.com/repos/YDLIDAR/ydlidar_ros2_driver/collaborators{/collaborator},yes,yes
sllidar_ros2,Slamtec/sllidar_ros2,https://github.com/Slamtec/sllidar_ros2,,220,False,2022-02-13T09:06:06Z,2024-07-04T14:01:00Z,C++,73,[],https://api.github.com/repos/Slamtec/sllidar_ros2/branches{/branch},https://api.github.com/repos/Slamtec/sllidar_ros2/collaborators{/collaborator},yes,yes
d2l-ros2,fishros/d2l-ros2,https://github.com/fishros/d2l-ros2,动手学ROS2课程配套教程，欢迎关注公众号《鱼香ROS》,154445,False,2021-09-08T13:17:29Z,2024-07-05T08:35:23Z,,65,[],https://api.github.com/repos/fishros/d2l-ros2/branches{/branch},https://api.github.com/repos/fishros/d2l-ros2/collaborators{/collaborator},yes,no
ros2_ouster_drivers,ros-drivers/ros2_ouster_drivers,https://github.com/ros-drivers/ros2_ouster_drivers,"ROS2 Drivers for the Ouster OS-0, OS-1, and OS-2 Lidars",239,False,2019-12-29T05:13:01Z,2024-07-03T17:42:52Z,C++,78,"['drivers', 'ouster', 'ouster-sensor', 'ros', 'ros2']",https://api.github.com/repos/ros-drivers/ros2_ouster_drivers/branches{/branch},https://api.github.com/repos/ros-drivers/ros2_ouster_drivers/collaborators{/collaborator},yes,yes
Universal_Robots_ROS2_Description,UniversalRobots/Universal_Robots_ROS2_Description,https://github.com/UniversalRobots/Universal_Robots_ROS2_Description,ROS2 URDF description for Universal Robots,24941,False,2021-12-15T12:19:48Z,2024-07-01T05:57:33Z,Python,93,"['robotics', 'ros2', 'universal-robots', 'ur10', 'ur10e', 'ur16e', 'ur20', 'ur3', 'ur3e', 'ur5', 'ur5e']",https://api.github.com/repos/UniversalRobots/Universal_Robots_ROS2_Description/branches{/branch},https://api.github.com/repos/UniversalRobots/Universal_Robots_ROS2_Description/collaborators{/collaborator},yes,yes
ros2_canopen,ros-industrial/ros2_canopen,https://github.com/ros-industrial/ros2_canopen,CANopen driver framework for ROS2,39434,False,2022-03-28T08:30:05Z,2024-07-04T07:47:05Z,C++,52,"['canopen', 'robotics', 'ros2']",https://api.github.com/repos/ros-industrial/ros2_canopen/branches{/branch},https://api.github.com/repos/ros-industrial/ros2_canopen/collaborators{/collaborator},yes,yes
ORB_SLAM3_ROS2,zang09/ORB_SLAM3_ROS2,https://github.com/zang09/ORB_SLAM3_ROS2,ROS2 wrapping package for orbslam3 library,169551,False,2022-08-04T02:45:04Z,2024-07-05T08:06:13Z,C++,65,[],https://api.github.com/repos/zang09/ORB_SLAM3_ROS2/branches{/branch},https://api.github.com/repos/zang09/ORB_SLAM3_ROS2/collaborators{/collaborator},yes,yes
spot_ros2,bdaiinstitute/spot_ros2,https://github.com/bdaiinstitute/spot_ros2,ROS 2 driver package for Boston Dynamics' Spot,41918,False,2022-04-19T15:12:21Z,2024-07-03T14:34:15Z,C++,50,[],https://api.github.com/repos/bdaiinstitute/spot_ros2/branches{/branch},https://api.github.com/repos/bdaiinstitute/spot_ros2/collaborators{/collaborator},yes,yes
xarm_ros2,xArm-Developer/xarm_ros2,https://github.com/xArm-Developer/xarm_ros2,ROS2 developer packages for robotic products from UFACTORY,10880,False,2021-06-15T03:45:59Z,2024-07-05T03:49:41Z,Python,58,"['gazebo', 'robotics', 'ros2']",https://api.github.com/repos/xArm-Developer/xarm_ros2/branches{/branch},https://api.github.com/repos/xArm-Developer/xarm_ros2/collaborators{/collaborator},yes,yes
ros2_21_tutorials,guyuehome/ros2_21_tutorials,https://github.com/guyuehome/ros2_21_tutorials,,3544,False,2022-05-30T10:25:48Z,2024-07-04T11:52:57Z,Python,56,[],https://api.github.com/repos/guyuehome/ros2_21_tutorials/branches{/branch},https://api.github.com/repos/guyuehome/ros2_21_tutorials/collaborators{/collaborator},yes,yes
gz_ros2_control,ros-controls/gz_ros2_control,https://github.com/ros-controls/gz_ros2_control,Connect the latest version of Gazebo with ros2_control.,882,False,2021-03-11T16:52:55Z,2024-07-04T19:42:40Z,C++,70,"['gazebo', 'ignitionrobotics', 'robot-control', 'robot-simulation', 'ros', 'ros2', 'ros2-control']",https://api.github.com/repos/ros-controls/gz_ros2_control/branches{/branch},https://api.github.com/repos/ros-controls/gz_ros2_control/collaborators{/collaborator},yes,yes
livox_ros2_driver,Livox-SDK/livox_ros2_driver,https://github.com/Livox-SDK/livox_ros2_driver,"Livox device driver under Ros2, support Lidar Mid-40, Mid-70, Tele-15, Horizon, Avia.",424,False,2020-11-06T09:36:23Z,2024-05-09T18:20:34Z,C++,81,[],https://api.github.com/repos/Livox-SDK/livox_ros2_driver/branches{/branch},https://api.github.com/repos/Livox-SDK/livox_ros2_driver/collaborators{/collaborator},yes,yes
franka_ros2,frankaemika/franka_ros2,https://github.com/frankaemika/franka_ros2,ROS 2 integration for Franka research robots,4440,False,2021-12-13T13:06:18Z,2024-07-05T15:01:12Z,C++,57,"['robotics', 'ros2']",https://api.github.com/repos/frankaemika/franka_ros2/branches{/branch},https://api.github.com/repos/frankaemika/franka_ros2/collaborators{/collaborator},yes,yes
li_slam_ros2,rsasaki0109/li_slam_ros2,https://github.com/rsasaki0109/li_slam_ros2,ROS 2 package of tightly-coupled lidar inertial ndt/gicp slam,3845,False,2020-07-09T00:27:50Z,2024-07-04T04:57:06Z,C++,40,"['g2o', 'gicp', 'gtsam', 'lidar', 'loop-closure', 'ndt', 'ros2', 'slam']",https://api.github.com/repos/rsasaki0109/li_slam_ros2/branches{/branch},https://api.github.com/repos/rsasaki0109/li_slam_ros2/collaborators{/collaborator},yes,yes
lidar_localization_ros2,rsasaki0109/lidar_localization_ros2,https://github.com/rsasaki0109/lidar_localization_ros2,3D LIDAR Localization using NDT/GICP and pointcloud map in ROS 2 (Not SLAM),165,False,2020-04-18T23:33:07Z,2024-07-04T03:28:44Z,C++,43,"['gicp', 'lidar', 'localization', 'ndt', 'pcl', 'ros2']",https://api.github.com/repos/rsasaki0109/lidar_localization_ros2/branches{/branch},https://api.github.com/repos/rsasaki0109/lidar_localization_ros2/collaborators{/collaborator},yes,yes
rmf_ros2,open-rmf/rmf_ros2,https://github.com/open-rmf/rmf_ros2,Internal ROS infrastructure for RMF,3923,False,2021-03-05T01:16:40Z,2024-07-05T15:22:01Z,C++,55,[],https://api.github.com/repos/open-rmf/rmf_ros2/branches{/branch},https://api.github.com/repos/open-rmf/rmf_ros2/collaborators{/collaborator},yes,yes
FogROS2,BerkeleyAutomation/FogROS2,https://github.com/BerkeleyAutomation/FogROS2,An Adaptive and Extensible Platform for Cloud and Fog Robotics Using ROS 2,89371,False,2022-02-01T20:27:23Z,2024-06-24T08:01:49Z,Python,28,['ros2'],https://api.github.com/repos/BerkeleyAutomation/FogROS2/branches{/branch},https://api.github.com/repos/BerkeleyAutomation/FogROS2/collaborators{/collaborator},yes,yes
tello-ros2,tentone/tello-ros2,https://github.com/tentone/tello-ros2,ROS2 node for DJI Tello and Visual SLAM for mapping of indoor environments.,2186,False,2020-11-04T12:13:10Z,2024-06-27T16:51:57Z,C++,40,"['dji-tello', 'dji-tello-edu', 'drone', 'ros-foxy', 'ros2', 'slam']",https://api.github.com/repos/tentone/tello-ros2/branches{/branch},https://api.github.com/repos/tentone/tello-ros2/collaborators{/collaborator},yes,no
diablo_ros2,DDTRobot/diablo_ros2,https://github.com/DDTRobot/diablo_ros2,diablo ros2 package,5540,False,2022-07-15T08:31:43Z,2024-07-01T07:32:32Z,C++,28,[],https://api.github.com/repos/DDTRobot/diablo_ros2/branches{/branch},https://api.github.com/repos/DDTRobot/diablo_ros2/collaborators{/collaborator},yes,no
limo_ros2,agilexrobotics/limo_ros2,https://github.com/agilexrobotics/limo_ros2,limo ros2 packages,30377,False,2021-09-02T02:26:51Z,2024-06-29T16:22:55Z,Python,34,[],https://api.github.com/repos/agilexrobotics/limo_ros2/branches{/branch},https://api.github.com/repos/agilexrobotics/limo_ros2/collaborators{/collaborator},yes,yes
ros2_cheats_sheet,ubuntu-robotics/ros2_cheats_sheet,https://github.com/ubuntu-robotics/ros2_cheats_sheet,A collection of ROS2-related cheats sheet,289,False,2019-06-20T12:56:12Z,2024-06-20T19:10:24Z,TeX,43,[],https://api.github.com/repos/ubuntu-robotics/ros2_cheats_sheet/branches{/branch},https://api.github.com/repos/ubuntu-robotics/ros2_cheats_sheet/collaborators{/collaborator},yes,no
direct_visual_lidar_calibration,koide3/direct_visual_lidar_calibration,https://github.com/koide3/direct_visual_lidar_calibration,A toolbox for target-less LiDAR-camera calibration [ROS1/ROS2],842,False,2022-09-13T01:06:03Z,2024-07-04T06:22:58Z,C++,83,"['calibration', 'camera', 'lidar', 'nid', 'ros', 'ros2']",https://api.github.com/repos/koide3/direct_visual_lidar_calibration/branches{/branch},https://api.github.com/repos/koide3/direct_visual_lidar_calibration/collaborators{/collaborator},yes,no
ROS2-Path-Planning-and-Maze-Solving,HaiderAbasi/ROS2-Path-Planning-and-Maze-Solving,https://github.com/HaiderAbasi/ROS2-Path-Planning-and-Maze-Solving,Developing a maze solving robot in ROS2 that leverages information from a drone or Satellite's camera using OpenCV algorithms to find its path to the goal and solve the maze. :),56874,False,2021-08-25T15:16:27Z,2024-06-30T10:07:36Z,Python,103,"['astar-algorithm', 'depth-first-search', 'dijikstra-algorithm', 'mapping', 'mazesolving', 'navigation', 'opencv', 'path-planning', 'python', 'robotics', 'ros']",https://api.github.com/repos/HaiderAbasi/ROS2-Path-Planning-and-Maze-Solving/branches{/branch},https://api.github.com/repos/HaiderAbasi/ROS2-Path-Planning-and-Maze-Solving/collaborators{/collaborator},yes,no
ros2_tracing,ros2/ros2_tracing,https://github.com/ros2/ros2_tracing,Tracing tools for ROS 2.,3397,False,2020-01-26T16:20:15Z,2024-07-04T16:29:10Z,Python,36,"['instrumentation', 'performance-analysis', 'ros', 'ros2', 'ros2-tracing', 'tools', 'tracing']",https://api.github.com/repos/ros2/ros2_tracing/branches{/branch},https://api.github.com/repos/ros2/ros2_tracing/collaborators{/collaborator},yes,yes
ros2_RobotSimulation,IFRA-Cranfield/ros2_RobotSimulation,https://github.com/IFRA-Cranfield/ros2_RobotSimulation,ROS2.0 Foxy and Humble repositories which provide ready-to-use ROS2.0 Gazebo + MoveIt!2 simulation packages for different Industrial and Collaborative Robots.,42118,False,2022-07-22T10:58:55Z,2024-07-02T12:36:58Z,Python,42,"['abb-robots', 'automation', 'collaborative-robots', 'flexible-automation', 'gazebo', 'grasping', 'industrial-robots', 'intelligent-automation', 'moveit', 'moveit2', 'panda-robot', 'research', 'robot', 'robotics', 'ros', 'ros2', 'ros2-foxy', 'simulation', 'universal-robots']",https://api.github.com/repos/IFRA-Cranfield/ros2_RobotSimulation/branches{/branch},https://api.github.com/repos/IFRA-Cranfield/ros2_RobotSimulation/collaborators{/collaborator},yes,no
m-explore-ros2,robo-friends/m-explore-ros2,https://github.com/robo-friends/m-explore-ros2,Explore_lite port to ROS2,176,False,2021-08-04T02:23:52Z,2024-07-02T16:21:02Z,C++,37,[],https://api.github.com/repos/robo-friends/m-explore-ros2/branches{/branch},https://api.github.com/repos/robo-friends/m-explore-ros2/collaborators{/collaborator},yes,yes
ros2_i_training,ros-industrial/ros2_i_training,https://github.com/ros-industrial/ros2_i_training,,64941,False,2021-01-15T13:10:11Z,2024-06-27T12:10:54Z,HTML,40,[],https://api.github.com/repos/ros-industrial/ros2_i_training/branches{/branch},https://api.github.com/repos/ros-industrial/ros2_i_training/collaborators{/collaborator},yes,no
ros2-mecanum-bot,deborggraever/ros2-mecanum-bot,https://github.com/deborggraever/ros2-mecanum-bot,ROS2 Mecanum wheel robot,571,False,2021-03-15T21:29:56Z,2024-07-04T08:33:07Z,C++,26,[],https://api.github.com/repos/deborggraever/ros2-mecanum-bot/branches{/branch},https://api.github.com/repos/deborggraever/ros2-mecanum-bot/collaborators{/collaborator},yes,yes
rules_ros2,mvukov/rules_ros2,https://github.com/mvukov/rules_ros2,Build ROS 2 with Bazel ,788,False,2021-05-13T20:40:10Z,2024-07-03T18:59:42Z,Starlark,42,"['bazel', 'robot-operating-system', 'robotics', 'ros-2', 'ros2']",https://api.github.com/repos/mvukov/rules_ros2/branches{/branch},https://api.github.com/repos/mvukov/rules_ros2/collaborators{/collaborator},yes,no
jetbot-ros2,jdgalviss/jetbot-ros2,https://github.com/jdgalviss/jetbot-ros2,ROS 2 implementation of a Teleoperated robot with live video feed using webrtc and SLAM using realsense's stereocameras. Running on a Jetson Nano,31058,False,2020-12-01T13:04:54Z,2024-06-21T07:46:28Z,Python,31,"['cartographer', 'jetbot', 'ros2', 'rtabmap', 'teleoperation', 'webrtc']",https://api.github.com/repos/jdgalviss/jetbot-ros2/branches{/branch},https://api.github.com/repos/jdgalviss/jetbot-ros2/collaborators{/collaborator},yes,no
dynamixel_hardware,dynamixel-community/dynamixel_hardware,https://github.com/dynamixel-community/dynamixel_hardware,ros2_control packages for ROBOTIS Dynamixel,1384,False,2021-01-22T07:20:11Z,2024-07-02T17:35:49Z,C++,47,"['cpp', 'dynamixel', 'robotics', 'robotis', 'ros2', 'ros2-control', 'ros2-foxy', 'ros2-humble', 'ros2-rolling']",https://api.github.com/repos/dynamixel-community/dynamixel_hardware/branches{/branch},https://api.github.com/repos/dynamixel-community/dynamixel_hardware/collaborators{/collaborator},yes,no
YOLOX-ROS,Ar-Ray-code/YOLOX-ROS,https://github.com/Ar-Ray-code/YOLOX-ROS,YOLOX + ROS2 object detection package (C++ only support),22898,False,2021-07-22T04:18:56Z,2024-06-29T19:45:18Z,C++,55,"['humble', 'object-detection', 'onnxruntime', 'opencv', 'openvino', 'ros2', 'tensorrt', 'tflite', 'yolox']",https://api.github.com/repos/Ar-Ray-code/YOLOX-ROS/branches{/branch},https://api.github.com/repos/Ar-Ray-code/YOLOX-ROS/collaborators{/collaborator},yes,no
VINS-Fusion-ROS2,zinuok/VINS-Fusion-ROS2,https://github.com/zinuok/VINS-Fusion-ROS2,ROS2 version of VINS-Fusion,82639,False,2022-04-22T04:55:48Z,2024-07-04T06:30:19Z,C++,31,[],https://api.github.com/repos/zinuok/VINS-Fusion-ROS2/branches{/branch},https://api.github.com/repos/zinuok/VINS-Fusion-ROS2/collaborators{/collaborator},yes,yes
ros_k8s,fujitatomoya/ros_k8s,https://github.com/fujitatomoya/ros_k8s,Kuberenetes / ROS&ROS2 Cluster Samples,13198,False,2020-02-21T15:05:15Z,2024-07-03T14:14:17Z,HTML,25,[],https://api.github.com/repos/fujitatomoya/ros_k8s/branches{/branch},https://api.github.com/repos/fujitatomoya/ros_k8s/collaborators{/collaborator},yes,no
pendulum,ros2-realtime-demo/pendulum,https://github.com/ros2-realtime-demo/pendulum,"ROS, ROS2, real-time, control, pendulum",5417,False,2019-10-25T14:54:40Z,2024-07-04T09:16:36Z,C++,36,"['ade', 'balance', 'cart', 'demo', 'pendulum-demo', 'raspberry-pi', 'real-time', 'robotics', 'robotics-control', 'ros', 'ros2']",https://api.github.com/repos/ros2-realtime-demo/pendulum/branches{/branch},https://api.github.com/repos/ros2-realtime-demo/pendulum/collaborators{/collaborator},yes,yes
ros2multirobotbook,osrf/ros2multirobotbook,https://github.com/osrf/ros2multirobotbook,,26022,False,2020-05-13T08:28:59Z,2024-06-18T09:47:56Z,TypeScript,29,[],https://api.github.com/repos/osrf/ros2multirobotbook/branches{/branch},https://api.github.com/repos/osrf/ros2multirobotbook/collaborators{/collaborator},yes,no
ethercat_driver_ros2,ICube-Robotics/ethercat_driver_ros2,https://github.com/ICube-Robotics/ethercat_driver_ros2,Hardware Interface for EtherCAT module integration with ros2_control,4054,False,2022-05-13T14:30:53Z,2024-07-02T06:29:24Z,C++,32,"['driver', 'ethercat', 'industrial-automation', 'robot-control', 'robotics', 'ros', 'ros2', 'ros2-control']",https://api.github.com/repos/ICube-Robotics/ethercat_driver_ros2/branches{/branch},https://api.github.com/repos/ICube-Robotics/ethercat_driver_ros2/collaborators{/collaborator},yes,no
ros2-seminar-examples,robotpilot/ros2-seminar-examples,https://github.com/robotpilot/ros2-seminar-examples,ROS 2 example packages for the ROS 2 seminar,300,False,2020-10-25T23:32:35Z,2024-06-30T09:30:31Z,Python,41,"['robotics', 'ros2']",https://api.github.com/repos/robotpilot/ros2-seminar-examples/branches{/branch},https://api.github.com/repos/robotpilot/ros2-seminar-examples/collaborators{/collaborator},yes,yes
OrbbecSDK_ROS2,orbbec/OrbbecSDK_ROS2,https://github.com/orbbec/OrbbecSDK_ROS2,OrbbecSDK ROS2 wrapper,217549,False,2023-05-11T02:16:05Z,2024-07-03T14:04:16Z,C++,19,"['3d', 'camera', 'depth-camera', 'robotics', 'ros2']",https://api.github.com/repos/orbbec/OrbbecSDK_ROS2/branches{/branch},https://api.github.com/repos/orbbec/OrbbecSDK_ROS2/collaborators{/collaborator},yes,yes
abb_ros2,PickNikRobotics/abb_ros2,https://github.com/PickNikRobotics/abb_ros2,,7943,False,2022-03-01T15:15:23Z,2024-07-04T20:06:21Z,C++,31,[],https://api.github.com/repos/PickNikRobotics/abb_ros2/branches{/branch},https://api.github.com/repos/PickNikRobotics/abb_ros2/collaborators{/collaborator},yes,yes
vox_nav,NMBURobotics/vox_nav,https://github.com/NMBURobotics/vox_nav,A navigation system for outdoor robotics in rough uneven terrains.,1020751,False,2020-11-03T02:31:35Z,2024-07-04T08:32:29Z,C++,41,"['navigation', 'ros2']",https://api.github.com/repos/NMBURobotics/vox_nav/branches{/branch},https://api.github.com/repos/NMBURobotics/vox_nav/collaborators{/collaborator},yes,yes
plotjuggler-ros-plugins,PlotJuggler/plotjuggler-ros-plugins,https://github.com/PlotJuggler/plotjuggler-ros-plugins,Many PlotJuggler plugins for ROS and ROS2.,499,False,2020-10-16T15:04:52Z,2024-05-27T14:06:05Z,C++,45,[],https://api.github.com/repos/PlotJuggler/plotjuggler-ros-plugins/branches{/branch},https://api.github.com/repos/PlotJuggler/plotjuggler-ros-plugins/collaborators{/collaborator},yes,yes
ros2bag_tools,AIT-Assistive-Autonomous-Systems/ros2bag_tools,https://github.com/AIT-Assistive-Autonomous-Systems/ros2bag_tools,Tool extensions for ros2bag cli,332,False,2021-03-08T14:59:14Z,2024-07-05T05:37:47Z,Python,30,[],https://api.github.com/repos/AIT-Assistive-Autonomous-Systems/ros2bag_tools/branches{/branch},https://api.github.com/repos/AIT-Assistive-Autonomous-Systems/ros2bag_tools/collaborators{/collaborator},yes,no
